"Node","controlStrategies"
"YGL033W","1"
"YGL166W","1"
"YLR043C","1"
"YLR013W","1"
"YOR210W","1"
"YGR005C","1"
"YNL244C","1"
"YER130C","1"
"YDR277C","1"
"YPR015C","1"
"YOL005C","1"
"YJL115W","1"
"YNL290W","1"
"YHR006W","1"
"YOL028C","1"
"YGR097W","1"
"YPL202C","1"
"YLR223C","1"
"YDR392W","1"
"YOR258W","1"
"YOL068C","1"
"YOR032C","1"
"YOL004W","1"
"YPR196W","1"
"YNL102W","1"
"YOR304W","1"
"YPL082C","1"
"YOR162C","1"
"YOR140W","1"
"YKR048C","1"
"YIL084C","1"
"YIL101C","1"
"YGL244W","1"
"YPL049C","1"
"YJR046W","1"
"YAL051W","1"
"YKL222C","1"
"YBR112C","1"
"YDL070W","1"
"YER064C","1"
"YDR328C","1"
"YLR014C","1"
"YDR477W","1"
"YOL145C","1"
"YDR076W","1"
"YOR113W","1"
"YPL177C","1"
"YLR375W","1"
"YOL148C","1"
"YMR168C","1"
"YIL128W","1"
"YHR146W","1"
"YPR104C","1"
"YKL062W","1"
"YML113W","1"
"YJR144W","1"
"YLR247C","1"
"YGR186W","1"
"YBL021C","1"
"YGR159C","1"
"YHL027W","1"
"YOL067C","1"
"YEL056W","1"
"YGR063C","1"
"YLR098C","1"
"YOR358W","1"
"YPR186C","1"
"YGL254W","1"
"YOL116W","1"
"YHR178W","1"
"YPR094W","1"
"YNL314W","1"
"YGL197W","1"
"YDR463W","1"
"YER184C","1"
"YDR314C","1"
"YMR074C","1"
"YER028C","1"
"YFL036W","1"
"YOR344C","1"
"YDR421W","1"
"YLR256W","1"
"YDR043C","1"
"YJR060W","1"
"YCR081W","1"
"YMR021C","1"
"YKL038W","1"
"YCR084C","1"
"YDL140C","1"
"YNL027W","1"
"YMR042W","1"
"YLR175W","1"
"YFL031W","1"
"YHL020C","1"
"YER109C","1"
"YBR240C","1"
"YGL035C","1"
"YLR228C","1"
"YNL199C","1"
"YKL112W","1"
"YLR176C","1"
"YFR034C","1"
"YPL038W","1"
"YMR070W","1"
"YPL089C","1"
"YOL108C","1"
"YDR213W","1"
"YMR043W","1"
"YJL056C","1"
"YNL167C","1"
"YML099C","1"
"YIR023W","1"
"YGL175C","1"
"YDR423C","1"
"YIR033W","1"
"YOR028C","1"
"YBL005W","1"
"YGL237C","1"
"YDL185W","1"
"YIL131C","1"
"YJL110C","1"
"YCR106W","1"
"YPL075W","1"
"YHR206W","1"
"YDL106C","1"
"YLR451W","1"
"YDL056W","1"
"YDR207C","1"
"YMR280C","1"
"YMR228W","1"
"YDR123C","1"
"YNL068C","1"
"YKR099W","1"
"YMR037C","1"
"YHR084W","1"
"YER111C","1"
"YIR018W","1"
"YNL103W","1"
"YMR016C","1"
"YDR216W","1"
"YGL073W","1"
"YKL109W","1"
"YDR310C","1"
"YNL216W","1"
"YDR296W","1"
"YDL020C","1"
"YEL009C","1"
"YLR403W","1"
"YBL003C","1"
"YBL002W","1"
"YDR224C","1"
"YDR225W","1"
"YJL092W","1"
"YOR372C","1"
"YLR136C","1"
"YGL071W","1"
